"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"ML11"	"ML6"	"ML1"	"ML4"	"ML2"	"ML3"	"ML7"	"ML5"	"ML9"	"ML12"	"ML8"	"ML10"
"Basin of Mexico -100 99"	"Basin of Mexico"	-100	99	14965144.9772727	1720265.20347003	40000	40000	-1.76631763578826	-0.447692757242503	-1.70620315044049	-0.183739734966696	0.430085307729098	1.71907400137586	-0.45961387790062	0.492811608844551	-0.352666616944889	-0.546907997026698	-0.168770558588251	0.432229666106266
"Basin of Mexico -1200 -801"	"Basin of Mexico"	-1200	-801	14965144.9772727	1720265.20347003	2500	40000	-1.71642879067211	-1.21989248221213	-1.16584526908283	-0.457211059743884	0.258016381010187	0.724230055822196	-0.0374212368177362	0.650652876464321	-1.46743162235437	-1.16293122387969	-0.784950873906872	-0.0906406543671652
"Basin of Mexico -2000 -1201"	"Basin of Mexico"	-2000	-1201	14965144.9772727	1720265.20347003	8000	6576506.57777778	-1.38247113183197	-0.130776119920362	-1.6603206928079	-2.41250167911874	-0.263849906442678	0.772504146046974	0.219340293144643	0.564332022421798	-0.437877968929214	-1.36675046042014	-0.143605789722418	0.0763521345892903
"Basin of Mexico -400 -101"	"Basin of Mexico"	-400	-101	14965144.9772727	1720265.20347003	20000	40000	-1.78731154929561	-0.534172649762483	-1.6583054461265	-0.186144195339256	0.497610664810683	1.67321327490021	-0.483880975219726	0.482429655743819	-0.430701332300804	-0.359346841511556	-0.223948576412208	0.366095418011865
"Basin of Mexico -6000 -2001"	"Basin of Mexico"	-6000	-2001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-1.37732270466437	-0.735641852962353	-1.42848156839643	-2.25146138169203	-0.0468129146940275	0.691027668179067	0.232150130619352	0.568761584019936	-0.755364678600795	-1.13603689320224	-0.215386955501673	-0.0215035207307295
"Basin of Mexico -800 -401"	"Basin of Mexico"	-800	-401	14965144.9772727	1720265.20347003	4000	40000	-1.69574681914374	-1.15547738580753	-1.21237885025289	-0.45940211433663	0.210432107978234	0.748696439764665	-0.0546713554373297	0.641785045019998	-1.35654847360122	-1.15556477320151	-0.712352057728893	-0.0498586446229521
"Basin of Mexico 100 649"	"Basin of Mexico"	100	649	14965144.9772727	1720265.20347003	112500	6576506.57777778	-1.14604008762744	-0.100936954325566	-0.0632530190873285	-1.60894359355472	0.375568836822173	1.39962732081368	-0.00429310665083014	0.428125615906416	0.635961900711409	-0.546126649118988	0.342114969655443	0.283533816956153
"Basin of Mexico 1200 1426"	"Basin of Mexico"	1200	1426	750000	1720265.20347003	25000	6576506.57777778	-0.783881655151681	0.0349098120726037	-1.65034838890239	-1.61521261353003	0.0013727964576903	1.59477742666424	-0.21452696053777	0.776146812440225	1.78473834047434	-1.4031609005282	2.13230091795466	0.818072073238134
"Basin of Mexico 1427 1519"	"Basin of Mexico"	1427	1519	3500000	28070	225000	6576506.57777778	-0.3001834391145	0.214925195218165	-1.48229374684526	-1.3468642250249	-0.214596038975355	1.40412055497145	-0.01629423016385	0.400741399788412	1.67254383419634	-0.274024927568888	2.81489637540487	1.28040074613429
"Basin of Mexico 650 899"	"Basin of Mexico"	650	899	14965144.9772727	1720265.20347003	27500	6576506.57777778	-0.687860188902489	0.224941329947009	-1.51698877573701	0.261909237614394	0.100973333472434	1.60718634098632	-0.217904766764457	0.963162953907745	1.15877752560688	-0.922743839122575	1.81527697438639	0.432490134569864
"Basin of Mexico 900 1199"	"Basin of Mexico"	900	1199	175000	22500	45000	6576506.57777778	-0.726806500252919	0.34054576978133	-1.82223656202743	-0.0773711683426969	-0.0438630964641781	1.62424614730158	-0.154187823555105	0.813225436855964	1.52210806439781	-1.41028481965693	1.90239284496211	0.887472636821162
"Big Island Hawaii 1000 1199"	"Big Island Hawaii"	1000	1199	14965144.9772727	2350	170408.662280702	6576506.57777778	-1.20499139184687	-1.2097714514296	-1.37297766070676	0.159941019329677	-1.76516009975679	-1.19010047343994	-0.585029801845457	-0.284020424324455	-1.15725034720243	-0.103081023957901	-0.498617329987584	-0.937532402931338
"Big Island Hawaii 1200 1649"	"Big Island Hawaii"	1200	1649	26750	2250	170408.662280702	6576506.57777778	-1.13591331056924	-1.65110430700975	-1.45786130659509	0.161321637937995	-1.86164451242013	-1.06872121794276	-0.695590497834236	0.0663336948666488	-0.792755893935189	-0.05156454353482	-0.564301035699948	-0.762590733308743
"Big Island Hawaii 1650 1777"	"Big Island Hawaii"	1650	1777	118750	9500	170408.662280702	6576506.57777778	-1.95139956417194	-0.723249314116234	-1.38385044801594	-1.02222672983125	-2.09501431884354	-0.670542690790118	-0.394991148378965	0.287274578820402	-0.969917061546539	-0.593691390654217	-1.20407109505068	-0.731283799772485
"Big Island Hawaii 1778 1819"	"Big Island Hawaii"	1778	1819	120000	15800	170408.662280702	6576506.57777778	-1.73177287488705	-0.172189887534214	-1.48076992665414	-0.290604937789775	-2.19573364843854	-0.787441948787914	1.89002994692462	-0.526485523144843	-0.992925795051926	-0.084670660400723	-0.55949436921417	-0.80418746047667
"Cahokia -150 299"	"Cahokia"	-150	299	14965144.9772727	1720265.20347003	40	6576506.57777778	-1.13759565616334	-2.27272345482196	-1.22793415861484	-3.10553794976884	-2.16317226353079	-0.895284254070758	-0.307753169240405	1.63888321988611	-0.764172515828509	-1.36562879076951	-0.353707358878381	-0.836675770647509
"Cahokia -600 -151"	"Cahokia"	-600	-151	14965144.9772727	1720265.20347003	40	6576506.57777778	-1.70560840334459	-2.15420445915907	-1.00695667828656	-3.56801343254084	-2.10144008105835	-0.737478670095897	-0.1514788176234	1.78557335527341	-1.10112008268519	-1.39206568354039	-0.837715352170217	-0.985019601664414
"Cahokia 1050 1199"	"Cahokia"	1050	1199	45000	2500	12500	6576506.57777778	-1.61466434290703	-1.03681918867945	-1.34528769998941	-3.05613660095426	-2.25370892495431	-1.14103227854659	-0.139190783104884	-0.946096121802873	-0.539553036850676	0.936785866346901	-0.583464092035783	-0.746094129014045
"Cahokia 1200 1274"	"Cahokia"	1200	1274	45000	2500	12500	137500	-1.61631108866133	-1.03075184828316	-1.3453691549193	-3.05579481687688	-2.25696616780658	-1.13547057236524	-0.133103176711717	-0.949264668057377	-0.549539299314826	0.922872936312091	-0.573707105802937	-0.745778810028722
"Cahokia 1275 1399"	"Cahokia"	1275	1399	13500	750	6000	6576506.57777778	-1.64507496427237	-1.1282189681031	-1.22938073693441	-3.02324232006281	-2.1845208979807	-1.09124771490656	-0.0492987370988185	-0.000527092861392638	-0.831541033972421	0.581779172065002	-0.686246147377535	-0.860396357289142
"Cahokia 1400 1639"	"Cahokia"	1400	1639	14965144.9772727	6000	200	6576506.57777778	-1.52583954424826	-1.24845960440271	-1.17438525958758	-0.433543027418055	-2.14112535736826	-0.811172358844002	0.743029623167797	0.476802289736435	-1.32711931835768	-0.115089694425054	-0.668306063630895	-0.74332664654711
"Cahokia 1640 1717"	"Cahokia"	1640	1717	6300	16500	2500	6576506.57777778	-1.13463273939195	-1.15910509625664	0.367919340820624	-2.84426653228695	-2.26880389886668	-0.963770178200149	0.777548208696215	1.67102590753823	0.131268408083934	-0.513447643574542	-0.335856891579351	-0.908655718163394
"Cahokia 300 449"	"Cahokia"	300	449	14965144.9772727	1720265.20347003	40	6576506.57777778	-1.70099777671169	-2.25460120171528	-0.954245720008065	-3.51288092055753	-1.96459397976875	-0.92187494285349	-0.223302094639568	1.37383730956904	-1.16230336085239	-0.714003025963363	-1.06743041126935	-1.089083515369
"Cahokia 450 599"	"Cahokia"	450	599	14965144.9772727	1720265.20347003	40	6576506.57777778	-1.70099777671169	-2.25460120171528	-0.954245720008065	-3.51288092055753	-1.96459397976875	-0.92187494285349	-0.223302094639568	1.37383730956904	-1.16230336085239	-0.714003025963363	-1.06743041126935	-1.089083515369
"Cahokia 600 749"	"Cahokia"	600	749	14965144.9772727	1720265.20347003	40	6576506.57777778	-1.07045607141146	-2.40076475770423	-1.14525380089229	-3.00738143851142	-2.07857024136335	-1.03215596899031	-0.365137568723054	1.52637352618592	-0.889224500871062	-0.819275142867889	-0.525837824123751	-0.819137993805703
"Cahokia 750 899"	"Cahokia"	750	899	450	150	450	6576506.57777778	-1.91278589477969	-1.94864420723104	-0.818143482403763	-1.99173063672046	-1.78674558555434	-0.945114316606206	-0.26246966744108	1.49263892506242	-1.73852808592935	0.476471709734728	-1.4032632352669	-1.09892720182716
"Cahokia 900 1049"	"Cahokia"	900	1049	450	150	450	6576506.57777778	-1.75162794313547	-1.06945180926344	-1.05019895776099	-2.16273033114391	-2.01742653431797	-1.03761731649363	-0.0837022807259953	1.39657312151216	-1.35298198831827	0.864213314330159	-1.16589346225454	-1.06112602285808
"Cambodian Basin -1200 -500"	"Cambodian Basin"	-1200	-500	14965144.9772727	1720265.20347003	150	6576506.57777778	-0.120271068310618	0.0597188149694977	-0.0103664343552174	-0.753457866051333	0.00490259233480923	-0.077953026014887	-0.118752434504377	-0.010814528485017	0.141644449842304	-0.0262176205629291	0.235215414080442	-0.0953974859795207
"Cambodian Basin -500 -224"	"Cambodian Basin"	-500	-224	14965144.9772727	1720265.20347003	150	6576506.57777778	0.162563341682497	-0.058587987616278	-0.0466004132347428	-0.548612800408753	0.0459267313695621	-0.202623026887697	-0.0782900078243679	-0.158554567307686	0.208891341183915	0.101823381261067	0.310086951189767	-0.0870720783074072
"Cambodian Basin 1080 1219"	"Cambodian Basin"	1080	1219	1500000	939245	875000	2175000	0.025726311491086	0.905459306616446	1.15698039510432	0.0819401115966729	1.02022823490107	0.427390073980001	0.0634225484510591	1.27823533039076	-0.529557705310698	0.827345098692532	-0.568898209785367	-3.10379198727395
"Cambodian Basin 1220 1431"	"Cambodian Basin"	1220	1431	1500000	1e+06	875000	2175000	-0.0626763581461152	0.726121008797873	1.06150732903122	0.0451829097303246	0.958563577375997	0.42755584346493	0.0577590520872193	-1.01063518232178	-0.161298313925117	0.570917465248306	-0.681406692204528	-2.85568089238204
"Cambodian Basin 1432 1593"	"Cambodian Basin"	1432	1593	875000	280000	170408.662280702	2175000	-0.0396702285239611	0.775492041366545	1.02817902754003	0.0583238181991581	0.937406345489066	0.41172883653038	0.07769904457704	-1.079482630797	-0.123009791891529	0.795174257993115	-0.654373320437852	-2.84317316261986
"Cambodian Basin 1594 1767"	"Cambodian Basin"	1594	1767	14965144.9772727	1720265.20347003	155000	2175000	0.208185091332924	0.406235844220549	0.925328236908484	-0.092811797001404	0.883747148631562	0.605066831955144	2.55082045798296	-0.282465390330532	-0.25963374667311	-0.816226638317202	-0.697865844429183	-2.93315120300734
"Cambodian Basin 1782 1873"	"Cambodian Basin"	1782	1873	3e+06	513120	75000	2175000	0.202126261841518	0.379555021924304	1.18971490837756	-0.346335356313466	0.926415733704114	0.490671568744723	2.7675379038105	-0.297209754958162	-0.432739137448883	-0.359333299146042	-0.548673099529315	-2.89820879332404
"Cambodian Basin 225 539"	"Cambodian Basin"	225	539	14965144.9772727	257034	2000	6576506.57777778	-0.229587890665103	0.291268859145663	0.943290282087134	-0.194562415017027	0.286039416829382	-0.317143912464052	-0.0441461762364031	-1.51898067899321	0.093184302682904	0.809884692481308	-0.830913312716909	-0.42816595836293
"Cambodian Basin 540 639"	"Cambodian Basin"	540	639	165000	264200	2000	6576506.57777778	-0.0811343460545378	0.48554060747997	1.095073577236	-0.525438489486037	1.0706689323048	-2.25017793107979	0.0394676369055224	-1.5029426305077	-0.2663214960984	0.528829903010736	-1.21597237031688	-2.70162428359761
"Cambodian Basin 640 801"	"Cambodian Basin"	640	801	14965144.9772727	531000	60000	2175000	-0.325774267801139	0.502806305383319	1.01372803255579	-0.25681113728201	1.07052139134538	-0.643914710352981	-0.0791643400599295	-1.52657973517175	-0.0592809220514969	0.877918676928125	-0.801869243934421	-2.69585192985555
"Cambodian Basin 802 1079"	"Cambodian Basin"	802	1079	14965144.9772727	916847	3e+05	2175000	-0.184402055842711	0.714124035513106	1.05489325685487	0.200997114514152	0.977268607456887	0.436080089661946	0.0201195092968165	-1.29136676385956	-0.141575574271868	0.940565531282236	-0.647715613590754	-2.85162621578357
"Central Java -400 499"	"Central Java"	-400	499	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.077728808748893	-0.0793948268227331	-0.131814127137333	0.158503136770399	-2.39754132087597	-1.43701119862067	-0.365022264687133	-0.330647677362141	0.500658857993946	0.223720712611717	0.216932026838474	-0.604437390709287
"Central Java 1049 1222"	"Central Java"	1049	1222	275000	60000	170408.662280702	6576506.57777778	0.37619952127582	0.418818891742421	0.247251875560626	-0.00180052160689155	0.991668689674052	0.403554337860143	-0.27087395944695	-1.03117830931049	0.435314751494576	1.06954699921082	-0.361237392765882	-2.38918351484109
"Central Java 1291 1518"	"Central Java"	1291	1518	5e+06	5e+05	150000	6576506.57777778	0.278993509955193	0.595236222074089	0.255804042920666	0.162249542497772	0.905327724391335	0.43303074227175	-0.212689729890749	-0.672545328157239	0.543610424596145	1.05146493171552	-0.215473473625048	-2.14667224506171
"Central Java 1568 1703"	"Central Java"	1568	1703	3250000	1e+05	170408.662280702	6576506.57777778	0.358249429814723	0.630157244295661	0.232672679959618	0.143287672766665	0.38663649406689	0.886268810288152	2.05063667573146	1.12857393166965	0.374148672285516	0.799215280817277	-0.415894319397552	0.361854216735801
"Central Java 500 731"	"Central Java"	500	731	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.3005862286785	0.0966579867421558	-0.167044438196641	0.158802937756034	0.125532229625266	0.763377629395999	-0.336648247959408	-0.227564285119874	0.971053599300544	0.539913348480151	-0.134459597066367	-1.50679983459159
"Central Java 732 1019"	"Central Java"	732	1019	3e+05	125000	1000	6576506.57777778	0.409249389709027	0.464800986481624	0.223464878845168	0.415611190132367	0.9105672665524	0.529689535592616	-0.176095875851508	-1.03199054714403	0.579153477023713	0.86683014073749	-0.497201251879058	-2.27543029743882
"Crete -1000 -711"	"Crete"	-1000	-711	14965144.9772727	1720265.20347003	6000	6576506.57777778	-0.254164632764816	-0.0109699579273692	-2.26996820002943	0.128890139279733	-0.483930962946582	0.229487492048464	-0.593377553862518	-1.94259155296865	3.69761117548163	-0.313186443886006	0.698045441525042	0.906082956969206
"Crete -1200 -1001"	"Crete"	-1200	-1001	14965144.9772727	1720265.20347003	1000	6576506.57777778	-0.306059563253131	-0.57321556976422	-2.00823201441856	0.375559231946441	-0.0606638158281395	0.130571502369204	-0.879071590297404	-1.44939062858101	0.37514271788797	0.13256746626317	-0.646193469019713	0.64784097491875
"Crete -1300 -1201"	"Crete"	-1300	-1201	14965144.9772727	1720265.20347003	1000	6576506.57777778	-0.537415440002879	-0.294816231486984	-2.12357889706432	0.471241310803512	-0.401386940117156	0.283081635131687	-1.14312818871374	-1.41392937789228	3.68250143191162	-0.103252594333552	0.920440138044111	0.971561544548896
"Crete -1450 -1301"	"Crete"	-1450	-1301	65000	5000	10000	6576506.57777778	-0.353783698190484	-0.390878861616382	-2.13776285213007	0.431170818205033	-0.390997646157778	0.232258634283719	-1.06016129083479	-1.75237476901929	3.73097005083749	-0.0614579671579928	0.792745084241839	0.973167869205698
"Crete -1700 -1451"	"Crete"	-1700	-1451	14965144.9772727	1720265.20347003	27500	6576506.57777778	-1.19839376742074	-0.32820447756403	-1.52028852969978	0.660579119781499	-0.0830646009938429	0.33579032880241	-0.880450749731644	-1.80872594800253	3.18524799854135	0.257839685030707	0.184858561027268	0.596177368226567
"Crete -1900 -1701"	"Crete"	-1900	-1701	14965144.9772727	1720265.20347003	17100	6576506.57777778	-1.23043506877376	-0.572672200816735	-1.43745358177218	0.568968324377988	-0.0264304404595235	0.34007729919954	-0.846962568368488	-1.64536491291912	3.04462870821551	0.273924610980615	0.211441289137393	0.58998924984783
"Crete -3000 -1901"	"Crete"	-3000	-1901	14965144.9772727	1720265.20347003	6850	6576506.57777778	-1.07341081061417	-0.896998171136844	-1.66655009577838	0.469658952446702	0.204451266207295	0.243700368095498	-0.894907002784802	-0.608634770957721	-0.331839714107338	0.405581502700554	-0.2842176271564	0.338834148408179
"Crete -31 283"	"Crete"	-31	283	6e+07	4500000	1050000	1.7e+07	0.907838438133429	1.02936069183968	0.868249605700526	0.955074668365681	0.272355729662642	0.0265660456297588	-0.503725618201766	0.768149503189283	-0.672566302603556	-6.06926157968196	-0.89091124124471	0.0768164291616099
