"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"Administrative.levels"	"Military.levels"	"Religious.levels"	"Settlement.hierarchy"	"Languages"	"Degree.of.centralization"	"Suprapolity.relations"	"Articles"	"Atlatl"	"Battle.axes"	"Breastplates"	"Bridges"	"Bronze"	"Calendar"	"Camels"	"Canals"	"Complex.fortifications"	"Composite.bow"	"Constraint.on.executive.by.government"	"Constraint.on.executive.by.nongovernment"	"Copper"	"Couriers"	"Courts"	"Crossbow"	"Daggers"	"Ditch"	"Dogs"	"Donkeys"	"drinking.water.supply.systems"	"Earth.ramparts"	"Elephants"	"elite.status.is.hereditary"	"Examination.system"	"Fiction"	"food.storage.sites"	"Foreign.coins"	"Formal.legal.code"	"Fortified.camps"	"Fulltime.bureaucrats"	"General.postal.service"	"Gunpowder.siege.artillery"	"Handheld.firearms"	"Helmets"	"History"	"Horses"	"Chainmail"	"Ideological.reinforcement.of.equality"	"Ideological.thought.equates.elites.and.commoners"	"Ideological.thought.equates.rulers.and.commoners"	"Ideology.reinforces.prosociality"	"Impeachment"	"Indigenous.coins"	"Iron"	"irrigation.systems"	"Javelins"	"Judges"	"Laminar.armor"	"Leather.cloth"	"Limb.protection"	"Lists.tables.and.classifications"	"Long.walls"	"markets"	"Merchant.ships.pressed.into.service"	"Merit.promotion"	"Mines.or.quarries"	"Mnemonic.devices"	"Moat"	"Modern.fortifications"	"Moral.concern.is.primary"	"Moralizing.enforcement.in.afterlife"	"Moralizing.enforcement.in.this.life"	"Moralizing.enforcement.is.agentic"	"Moralizing.enforcement.is.certain"	"Moralizing.enforcement.is.targeted"	"Moralizing.enforcement.of.rulers"	"Moralizing.norms.are.broad"	"Moralizing.religion.adopted.by.commoners"	"Moralizing.religion.adopted.by.elites"	"Nonphonetic.writing"	"Nonwritten.records"	"Paper.currency"	"Philosophy"	"Phonetic.alphabetic.writing"	"Plate.armor"	"Polearms"	"Ports"	"Postal.stations"	"Practical.literature"	"Precious.metals"	"production.of.public.goods"	"Professional.Lawyers"	"Professional.military.officers"	"Professional.priesthood"	"Professional.soldiers"	"Religious.literature"	"Roads"	"Rulers.are.gods"	"Rulers.are.legitimated.by.gods"	"Sacred.Texts"	"Scaled.armor"	"Scientific.literature"	"Script"	"Self.bow"	"Settlements.in.a.defensive.position"	"Shields"	"Slings"	"Small.vessels.canoes.etc"	"Spears"	"Specialized.government.buildings"	"Specialized.military.vessels"	"Steel"	"Stone.walls.mortared"	"Stone.walls.nonmortared"	"Swords"	"Tension.siege.engines"	"Tokens"	"War.clubs"	"Wood.bark.etc"	"Wooden.palisades"	"Written.records"
"Basin of Mexico -100 99"	"Basin of Mexico"	-100	99	14965144.9772727	1720265.20347003	40000	40000	4.56515957446809	5.03362573099415	2	3.5	1	0	1.13576158940397	1	1	0	0	0.808118081180812	0	0	0	0	0	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0	1	0.756183745583039	0	0	1	0.819571865443425	0	0.9375	0.177606177606178	0	0	0	0	0	0.721264367816092	0.222222222222222	0	0	0	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0	0	1	0	0.589171974522293	0	0	0	0	0	1	0.311004784688995	0.346774193548387	1	1	0.696428571428571	0	1	1	0.687134502923977	1	1	1	1	1	1	1	0.21969696969697	1	0	0	0	0	0	0	0.548262548262548	0	0	0.945054945054945	0	0.687878787878788	1	0.725075528700906	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0	0	0	0	1	1	1	0.774744027303754	1	1	0.516819571865443	0	1	0.5	0	0	0.62	1	0.78030303030303	0.785992217898833	0
"Basin of Mexico -1200 -801"	"Basin of Mexico"	-1200	-801	14965144.9772727	1720265.20347003	2500	40000	1.5	5.03362573099415	1	2.5	1	0	1	1	1	0	0	0.808118081180812	0	0	0	0	0.511182108626198	0.619302949061662	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0.756183745583039	0	0	0	0.819571865443425	0	0.9375	0.177606177606178	0	0	0	0	0.595141700404858	0	0	0.136020151133501	0.164179104477612	0	0	0	0.484764542936288	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0	0	1	0	0	0.340350877192982	0	0	0	0	0	0.311004784688995	0.346774193548387	1	1	0.696428571428571	0.0508905852417303	0.589970501474926	0.654867256637168	0.687134502923977	0.642857142857143	0.61875	0.780701754385965	0.807121661721068	0.702064896755162	0.756923076923077	0.816860465116279	0.21969696969697	1	0	0	0	0.40406976744186	0	0	0	0	0	0.945054945054945	0	0	0	0	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0.511254019292605	0	0	0	1	0	1	0.774744027303754	1	0	0.516819571865443	0	0.596774193548387	0.5	0	0.448680351906158	0.62	0	0.78030303030303	0.785992217898833	0
"Basin of Mexico -2000 -1201"	"Basin of Mexico"	-2000	-1201	14965144.9772727	1720265.20347003	8000	6576506.57777778	4.56515957446809	5.03362573099415	2.98680351906158	1	1	3.14438502673797	1.13576158940397	0.972049689440994	1	0	0	0.808118081180812	0	0	0	0.675373134328358	0	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	0	0	0	0	0.673151750972763	0	0	0.9375	0.177606177606178	0	0.818481848184819	0.530864197530864	0	0	0.721264367816092	0.222222222222222	0.136020151133501	0.164179104477612	0	0	0	0.484764542936288	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	0.804407713498623	0	0.589171974522293	0.340350877192982	0.888888888888889	0	0	0	0.817034700315457	0.311004784688995	0.346774193548387	0.900709219858156	1	0	0.0508905852417303	0.589970501474926	0.654867256637168	0.687134502923977	0.642857142857143	0.61875	0.780701754385965	0.807121661721068	0.702064896755162	0.756923076923077	0.816860465116279	0.21969696969697	0	0.075	0	0	0.40406976744186	0	0.711038961038961	0.548262548262548	0	0.80078125	0.945054945054945	0	0.687878787878788	0.784090909090909	0.725075528700906	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0.511254019292605	0	0	0	0.876876876876877	0	0	0.774744027303754	1	0	0.516819571865443	0	0	0	0	0.448680351906158	0.62	0	0.78030303030303	0	0
"Basin of Mexico -400 -101"	"Basin of Mexico"	-400	-101	14965144.9772727	1720265.20347003	20000	40000	4.56515957446809	5.03362573099415	2	3.5	1	0	1.13576158940397	1	1	0	0	0.808118081180812	0	0	0	0	0	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0	1	0.756183745583039	0	0	1	0.819571865443425	0	0.9375	0.177606177606178	0	0	0	0	0	0.721264367816092	0.222222222222222	0	0	0	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0	0	1	0	0.589171974522293	0	0	0	0	0	0.817034700315457	0	0.346774193548387	1	1	0.696428571428571	0	1	1	0.687134502923977	1	1	1	1	1	1	1	0.21969696969697	1	0	0	0	0	0	0	0.548262548262548	0	0	0.945054945054945	0	0.687878787878788	1	0.725075528700906	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0.5	0	0	0.62	1	0.78030303030303	0.785992217898833	0
"Basin of Mexico -6000 -2001"	"Basin of Mexico"	-6000	-2001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	4.56515957446809	5.03362573099415	2.98680351906158	1	1	3.14438502673797	1.13576158940397	0.972049689440994	1	0	0	0.808118081180812	0	0	0	0.675373134328358	0	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0	0	0	0	0	0	0.9375	0.177606177606178	0	0	0.530864197530864	0	0	0.721264367816092	0.222222222222222	0.136020151133501	0.164179104477612	0	0	0	0.484764542936288	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	0	0	0.589171974522293	0.340350877192982	0.888888888888889	0	0	0	0	0.311004784688995	0.346774193548387	0.900709219858156	1	0	0.0508905852417303	0.589970501474926	0.654867256637168	0.687134502923977	0.642857142857143	0.61875	0.780701754385965	0.807121661721068	0.702064896755162	0.756923076923077	0.816860465116279	0.21969696969697	0	0.075	0	0	0.40406976744186	0	0.711038961038961	0.548262548262548	0	0.80078125	0.945054945054945	0	0.687878787878788	0.784090909090909	0.725075528700906	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0.511254019292605	0	0	0	0.876876876876877	0	0	0.774744027303754	1	0	0.516819571865443	0	0	0	0	0.448680351906158	0.62	0	0.78030303030303	0	0
"Basin of Mexico -800 -401"	"Basin of Mexico"	-800	-401	14965144.9772727	1720265.20347003	4000	40000	1.5	5.03362573099415	1	2.5	1	0	1	1	1	0	0	0.808118081180812	0	0	0	0	0.511182108626198	0.619302949061662	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0.756183745583039	0	0	0	0.819571865443425	0	0.9375	0.177606177606178	0	0	0	0	0.595141700404858	0	0	0.136020151133501	0.164179104477612	0	0	0	0.484764542936288	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0	0	1	0	0	0.340350877192982	0	0	0	0	0	0.311004784688995	0.346774193548387	1	1	0.696428571428571	0.0508905852417303	0.589970501474926	0.654867256637168	0.687134502923977	0.642857142857143	0.61875	0.780701754385965	0.807121661721068	0.702064896755162	0.756923076923077	0.816860465116279	0.21969696969697	1	0	0	0	0.40406976744186	0	0	0	0	0	0.945054945054945	0	0	0	0	0	0.80952380952381	0.339483394833948	0.892857142857143	0	0.511254019292605	0	0	0	1	0	1	0.774744027303754	1	0.730659025787966	0.516819571865443	0	0.596774193548387	0.5	0	0.448680351906158	0.62	0	0.78030303030303	0.785992217898833	0
"Basin of Mexico 100 649"	"Basin of Mexico"	100	649	14965144.9772727	1720265.20347003	112500	6576506.57777778	4.56515957446809	5.03362573099415	2.98680351906158	3	1	3.14438502673797	1.13576158940397	0.972049689440994	1	1	0	0.808118081180812	0	0.714285714285714	0	0.675373134328358	0	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0.533557046979866	0.375706214689266	1	0	0	0	0.673151750972763	0	0	0.9375	0.177606177606178	0.621776504297994	0.818481848184819	0.530864197530864	0.692771084337349	0	0.721264367816092	0.222222222222222	0.136020151133501	0.164179104477612	1	0.622093023255814	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	0.804407713498623	0	0.589171974522293	0	0.888888888888889	0	0.692957746478873	0	1	0.311004784688995	0.346774193548387	0.900709219858156	0.793893129770992	0	0	1	1	0.687134502923977	1	1	1	1	1	1	1	0.21969696969697	0.94758064516129	0.075	0.583333333333333	0.592991913746631	0	0	0.711038961038961	0.548262548262548	0.636619718309859	0.80078125	0.945054945054945	0.398550724637681	0.687878787878788	0.784090909090909	0.725075528700906	0.672	0.80952380952381	0.339483394833948	0.892857142857143	0.658045977011494	0	0.632047477744807	0.768079800498753	0	0.876876876876877	1	1	0.774744027303754	1	0.730659025787966	0.516819571865443	0	0	0	0	0.448680351906158	0.62	0	0.78030303030303	0	0.746898263027295
"Basin of Mexico 1200 1426"	"Basin of Mexico"	1200	1426	750000	1720265.20347003	25000	6576506.57777778	4.56515957446809	5.03362573099415	2.98680351906158	3	1	3.14438502673797	1.13576158940397	0.972049689440994	1	0	1	0.808118081180812	0	1	0	0.675373134328358	0	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0	0	0	0.673151750972763	0	0	0.9375	0.177606177606178	0	0.818481848184819	0.530864197530864	0.692771084337349	0	1	0.222222222222222	0.136020151133501	0.164179104477612	1	0	0	0	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	0.804407713498623	0	0.589171974522293	0	1	1	0	0	1	0.311004784688995	0.346774193548387	0.900709219858156	1	0	0	1	1	1	1	1	1	1	1	1	1	0.21969696969697	1	0.075	0	0	0	0	0.711038961038961	0.548262548262548	0	0.80078125	0.945054945054945	0	1	1	1	0	0.80952380952381	0.339483394833948	0.892857142857143	1	0	1	1	1	0	1	1	0.774744027303754	1	1	0.516819571865443	0	0	0	0	0.448680351906158	0.62	1	0.78030303030303	0	0
"Basin of Mexico 1427 1519"	"Basin of Mexico"	1427	1519	3500000	28070	225000	6576506.57777778	6	6.5	2.98680351906158	5	1	3.14438502673797	1.13576158940397	0.972049689440994	1	1	1	0.808118081180812	0	1	0	0.675373134328358	1	0.619302949061662	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0	0	0	0.673151750972763	0	0	0.9375	1	0	1	0.530864197530864	1	0	1	0.222222222222222	0.136020151133501	0.164179104477612	1	1	0	0.484764542936288	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	1	0	1	0.340350877192982	0.888888888888889	0	0	0	1	0.311004784688995	1	0.900709219858156	1	0	0	1	1	1	1	1	1	1	1	1	1	0.21969696969697	1	0.075	0	0	0.40406976744186	0	0.711038961038961	0.548262548262548	0	0.80078125	0.945054945054945	0	1	1	1	0	0.80952380952381	0.339483394833948	0.892857142857143	1	0.511254019292605	1	1	1	1	1	1	0.774744027303754	1	1	0.516819571865443	0	0	1	1	0.448680351906158	0.62	1	0.78030303030303	0	0
"Basin of Mexico 650 899"	"Basin of Mexico"	650	899	14965144.9772727	1720265.20347003	27500	6576506.57777778	4	2	2.98680351906158	3	1	3.14438502673797	1.13576158940397	0.972049689440994	1	1	1	0.808118081180812	0	1	0	0.675373134328358	0.511182108626198	0	0.46031746031746	0.513274336283186	0	0.775438596491228	0	0.375706214689266	1	0.756183745583039	0	0	0.673151750972763	0.819571865443425	0	0.9375	0	0	0.818481848184819	0.530864197530864	0.692771084337349	1	1	0.222222222222222	0.136020151133501	0.164179104477612	1	0	0	0.484764542936288	0.582236842105263	0.507299270072993	0.346801346801347	0.962616822429907	0.103448275862069	0.536388140161725	0	0.804407713498623	0	0.589171974522293	0.340350877192982	1	1	0	0	1	0.311004784688995	1	0.900709219858156	1	0.696428571428571	0	1	1	0.687134502923977	1	1	1	1	1	1	1	0.21969696969697	1	0.075	0	0	0.40406976744186	0	0.711038961038961	0.548262548262548	0	0.80078125	0.945054945054945	0	1	1	1	0	0.80952380952381	0.339483394833948	0.892857142857143	1	0.511254019292605	1	1	0	0.876876876876877	0.876436781609195	1	0.774744027303754	1	1	0.516819571865443	0	0.596774193548387	0.5	0	0.448680351906158	0.62	1	0.78030303030303	0.785992217898833	0
