"Variable"	"ShortName"	"Section"	"Subsection"	"Category"
"Polity Population"	"PolPop"	"Social Complexity variables"	"Social Scale"	"scale"
"Polity territory"	"PolTerr"	"Social Complexity variables"	"Social Scale"	"scale"
"Population of the largest settlement"	"CapPop"	"Social Complexity variables"	"Social Scale"	"scale"
"Administrative levels"	"AdmLev"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"
"Military levels"	"MilLev"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"
"Religious levels"	"ReligLev"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"
"Settlement hierarchy"	"SettlHier"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"
"Professional military officers"	"ProfOfficer"	"Social Complexity variables"	"Professions"	"government"
"Professional soldiers"	"ProfSoldier"	"Social Complexity variables"	"Professions"	"government"
"Professional priesthood"	"ProfPriest"	"Social Complexity variables"	"Professions"	"government"
"Full-time bureaucrats"	"FullTBur"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"
"Examination system"	"ExamSyst"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"
"Merit promotion"	"MeritProm"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"
"Specialized government buildings"	"GovtBldg"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"
"Courts"	"Court"	"Social Complexity variables"	"Law"	"government"
"Formal legal code"	"LegCode"	"Social Complexity variables"	"Law"	"government"
"Judges"	"Judge"	"Social Complexity variables"	"Law"	"government"
"Professional Lawyers"	"Lawyer"	"Social Complexity variables"	"Law"	"government"
"irrigation systems"	"Irrigation"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"drinking water supply systems"	"WaterSuppl"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"markets"	"Market"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
"food storage sites"	"FoodStor"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"
