"pol"	"place"	"time1"	"time2"	"PolPop_CC1"	"PolTerr_CC2"	"CapPol_CC3"	"HComplex_CC4_agg"	"Gov_CC5_agg"	"Infrastr_CC6_agg"	"InfoSys_CC7_agg"	"Texts_CC8_agg"	"Money_CC9_agg"
"Basin of Mexico -100 99"	"Basin of Mexico"	-100	99	14965144.9772727	1720265.20347003	40000	3.77469632636556	0.477070093642968	0.624182432300514	0.317099567099567	0	0.27
"Basin of Mexico -1200 -801"	"Basin of Mexico"	-1200	-801	14965144.9772727	1720265.20347003	2500	2.50840643274854	0.0476709428322332	0.401960210078291	0.317099567099567	0	0.27
"Basin of Mexico -2000 -1201"	"Basin of Mexico"	-2000	-1201	14965144.9772727	1720265.20347003	8000	3.39639720613096	0.366532903560323	0.779759913211307	0.174242424242424	0	0.58918054618893
"Basin of Mexico -400 -101"	"Basin of Mexico"	-400	-101	14965144.9772727	1720265.20347003	20000	3.77469632636556	0.477070093642968	0.603852954557787	0.317099567099567	0	0.27
"Basin of Mexico -6000 -2001"	"Basin of Mexico"	-6000	-2001	14965144.9772727	1720265.20347003	170408.662280702	3.39639720613096	0.366532903560323	0.433862578436677	0.174242424242424	0	0.58918054618893
"Basin of Mexico -800 -401"	"Basin of Mexico"	-800	-401	14965144.9772727	1720265.20347003	4000	2.50840643274854	0.114094490631139	0.401960210078291	0.317099567099567	0	0.27
"Basin of Mexico 100 649"	"Basin of Mexico"	100	649	14965144.9772727	1720265.20347003	112500	3.89639720613096	0.580672710991492	0.800089390954034	0.680299781197258	0.642525218529877	0.58918054618893
"Basin of Mexico 1200 1426"	"Basin of Mexico"	1200	1426	750000	1720265.20347003	25000	3.89639720613096	0.618756675455837	0.800089390954034	0.45995670995671	0.375	0.58918054618893
"Basin of Mexico 1427 1519"	"Basin of Mexico"	1427	1519	3500000	28070	225000	5.1217008797654	0.818181818181818	0.841990550766984	0.45995670995671	0.5	0.58918054618893
"Basin of Mexico 650 899"	"Basin of Mexico"	650	899	14965144.9772727	1720265.20347003	27500	2.9967008797654	0.661994823532695	0.800089390954034	0.45995670995671	0.375	0.58918054618893
"Basin of Mexico 900 1199"	"Basin of Mexico"	900	1199	175000	22500	45000	3.2467008797654	0.618756675455837	0.820258074489054	0.45995670995671	0.286261681844538	0.58918054618893
