"Variable"	"ShortName"	"Section"	"Subsection"	"Category"	"VarNumber"
"Polity Population"	"PolPop"	"Social Complexity variables"	"Social Scale"	"scale"	1
"Polity territory"	"PolTerr"	"Social Complexity variables"	"Social Scale"	"scale"	2
"Population of the largest settlement"	"CapPop"	"Social Complexity variables"	"Social Scale"	"scale"	3
"Administrative levels"	"AdmLev"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"	4
"Military levels"	"MilLev"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"	5
"Religious levels"	"ReligLev"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"	6
"Settlement hierarchy"	"SettlHier"	"Social Complexity variables"	"Hierarchical Complexity"	"levels"	7
"Professional military officers"	"ProfOfficer"	"Social Complexity variables"	"Professions"	"government"	8
"Professional soldiers"	"ProfSoldier"	"Social Complexity variables"	"Professions"	"government"	9
"Professional priesthood"	"ProfPriest"	"Social Complexity variables"	"Professions"	"government"	10
"Full-time bureaucrats"	"FullTBur"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"	11
"Examination system"	"ExamSyst"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"	12
"Merit promotion"	"MeritProm"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"	13
"Specialized government buildings"	"GovtBldg"	"Social Complexity variables"	"Bureaucracy characteristics"	"government"	14
"Courts"	"Court"	"Social Complexity variables"	"Law"	"government"	15
"Formal legal code"	"LegCode"	"Social Complexity variables"	"Law"	"government"	16
"Judges"	"Judge"	"Social Complexity variables"	"Law"	"government"	17
"Professional Lawyers"	"Lawyer"	"Social Complexity variables"	"Law"	"government"	18
"irrigation systems"	"Irrigation"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"	19
"drinking water supply systems"	"WaterSuppl"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"	20
"markets"	"Market"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"	21
"food storage sites"	"FoodStor"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"	22
"Roads"	"Road"	"Social Complexity variables"	"Specialized Buildings: polity owned"	"infrastruct"	23
