"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"1","Basin of Mexico -100 99","Basin of Mexico",-100,99,14965144.9772727,1720265.20347003,40000,40000,-3.05548214382733,2.64574989504274,0.454278266620784,0.836294502231941,0.953151348712633
"2","Basin of Mexico -1200 -801","Basin of Mexico",-1200,-801,14965144.9772727,1720265.20347003,2500,40000,-5.32748433242609,2.03052623205915,0.646405476826527,1.02570121262032,1.48347420463524
"3","Basin of Mexico -2000 -1201","Basin of Mexico",-2000,-1201,14965144.9772727,1720265.20347003,8000,6576506.57777778,-2.66937953896283,1.50457944177377,1.05588286040051,-1.35781006781647,1.24731022294508
"4","Basin of Mexico -400 -101","Basin of Mexico",-400,-101,14965144.9772727,1720265.20347003,20000,40000,-3.10957091460569,2.6422962438754,0.454728194475274,0.819107489064195,1.0050877768797
"5","Basin of Mexico -6000 -2001","Basin of Mexico",-6000,-2001,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-2.78642366717573,1.52391151682704,1.11307556790465,-1.37311692384872,1.35763169546621
"6","Basin of Mexico -800 -401","Basin of Mexico",-800,-401,14965144.9772727,1720265.20347003,4000,40000,-5.28193339230192,2.00393783361546,0.612386994733949,1.05474626426366,1.44838283021587
"7","Basin of Mexico 100 649","Basin of Mexico",100,649,14965144.9772727,1720265.20347003,112500,6576506.57777778,-0.984307419853355,0.691199767679066,0.451709253911504,-0.987715863639547,0.458045219845763
"8","Basin of Mexico 1200 1426","Basin of Mexico",1200,1426,750000,1720265.20347003,25000,6576506.57777778,-1.18901117882164,0.84098353816821,0.656908130030916,-0.926683176507083,0.539463606675996
"9","Basin of Mexico 1427 1519","Basin of Mexico",1427,1519,3500000,28070,225000,6576506.57777778,1.26433078706547,1.50643269592729,0.867710908214085,-0.259503275618302,1.23448221401142
"10","Basin of Mexico 650 899","Basin of Mexico",650,899,14965144.9772727,1720265.20347003,27500,6576506.57777778,-2.33007564944445,-1.25015131316333,0.26000559945896,-1.1033351417331,-0.965608485884551
"11","Basin of Mexico 900 1199","Basin of Mexico",900,1199,175000,22500,45000,6576506.57777778,-2.11423467249543,-1.0741018808349,0.324929163819183,-1.29780855444191,-0.786044198312268
"12","Big Island Hawaii 1000 1199","Big Island Hawaii",1000,1199,14965144.9772727,2350,170408.662280702,6576506.57777778,-4.3025532762609,3.07099196039556,0.0365672277842577,0.0893895025796765,0.831234465919544
"13","Big Island Hawaii 1200 1649","Big Island Hawaii",1200,1649,26750,2250,170408.662280702,6576506.57777778,-4.22710793970317,3.10887800640353,0.0338484866484522,0.0321372779181314,0.86959643550264
"14","Big Island Hawaii 1650 1777","Big Island Hawaii",1650,1777,118750,9500,170408.662280702,6576506.57777778,-3.45786002307476,-0.641066641610828,1.96764182152316,-2.83428920923414,1.95385262400136
"15","Big Island Hawaii 1778 1819","Big Island Hawaii",1778,1819,120000,15800,170408.662280702,6576506.57777778,-2.54437285818495,-0.830104090007968,1.37397700427936,-2.51041517449236,2.14889466701907
"16","Cahokia -150 299","Cahokia",-150,299,14965144.9772727,1720265.20347003,40,6576506.57777778,-6.33351409097734,3.40620414487195,0.15771704494972,-0.722843338767495,1.3727635454806
"17","Cahokia -600 -151","Cahokia",-600,-151,14965144.9772727,1720265.20347003,40,6576506.57777778,-6.70050057040133,3.66655085129663,0.986934838939151,-0.943299406930059,0.913477517449719
"18","Cahokia 1050 1199","Cahokia",1050,1199,45000,2500,12500,6576506.57777778,-4.45783969186944,0.733743746075267,0.856739652547492,-2.41881387677638,0.342540857356387
"19","Cahokia 1200 1274","Cahokia",1200,1274,45000,2500,12500,137500,-4.45210704023666,0.920656075430553,1.62299905440397,-2.35212647930094,-0.1863858768539
"20","Cahokia 1275 1399","Cahokia",1275,1399,13500,750,6000,6576506.57777778,-5.24880602801146,0.850602975773042,1.5594923404367,-2.31158490980933,-0.224158841089307
"21","Cahokia 1400 1639","Cahokia",1400,1639,14965144.9772727,6000,200,6576506.57777778,-7.31581408360382,0.0308949011816265,0.420799920255382,0.0936801965079706,0.239058291289554
"22","Cahokia 1640 1717","Cahokia",1640,1717,6300,16500,2500,6576506.57777778,-6.43470018459774,-0.11781506210991,-0.519232929898052,0.439481711213894,0.7028346154767
"23","Cahokia 300 449","Cahokia",300,449,14965144.9772727,1720265.20347003,40,6576506.57777778,-6.54333589664524,3.69955969727696,1.05186074589061,-0.868778055919728,0.814845113981734
"24","Cahokia 450 599","Cahokia",450,599,14965144.9772727,1720265.20347003,40,6576506.57777778,-6.54333589664524,3.69955969727696,1.05186074589061,-0.868778055919728,0.814845113981734
"25","Cahokia 600 749","Cahokia",600,749,14965144.9772727,1720265.20347003,40,6576506.57777778,-6.11670560929247,3.49459648215511,0.929237395139354,-0.55623490107726,0.768068061518996
"26","Cahokia 750 899","Cahokia",750,899,450,150,450,6576506.57777778,-5.97998765720188,3.17519587492774,1.50752635939988,-0.17913875007973,1.16780569071384
"27","Cahokia 900 1049","Cahokia",900,1049,450,150,450,6576506.57777778,-4.8612768640204,1.88124301618028,1.84051759014912,-1.16147885356105,1.33037654025
"28","Cambodian Basin -1200 -500","Cambodian Basin",-1200,-500,14965144.9772727,1720265.20347003,150,6576506.57777778,-1.20018110384971,0.17385029854382,-0.0987304766998711,-0.182671315554529,-0.0130482676058323
"29","Cambodian Basin -500 -224","Cambodian Basin",-500,-224,14965144.9772727,1720265.20347003,150,6576506.57777778,-0.731289049473454,0.0620212403914963,-0.140141669260074,-0.0565199927449707,-0.0365345531257502
"30","Cambodian Basin 1080 1219","Cambodian Basin",1080,1219,1500000,939245,875000,2175000,3.18067046653215,-0.448277956398636,1.08385613731208,-0.787954169234005,-0.944674175458158
