"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Basin of Mexico -100 99"	"Basin of Mexico"	-100	99	14965144.9772727	1720265.20347003	40000	40000	0.341153470768285	0.648293234059395	-0.810592781715153
"Basin of Mexico -1200 -801"	"Basin of Mexico"	-1200	-801	14965144.9772727	1720265.20347003	2500	40000	0.739512005916547	0.430601694485798	-0.666462485570476
"Basin of Mexico -2000 -1201"	"Basin of Mexico"	-2000	-1201	14965144.9772727	1720265.20347003	8000	6576506.57777778	0.660619159651633	0.753998177862167	-0.868110484978903
"Basin of Mexico -400 -101"	"Basin of Mexico"	-400	-101	14965144.9772727	1720265.20347003	20000	40000	0.371443948534113	0.62997043148954	-0.785924242349843
"Basin of Mexico -6000 -2001"	"Basin of Mexico"	-6000	-2001	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.70719819666314	0.763511425945894	-0.806027194343282
"Basin of Mexico -800 -401"	"Basin of Mexico"	-800	-401	14965144.9772727	1720265.20347003	4000	40000	0.708852274583305	0.449377784053695	-0.689931201095534
"Basin of Mexico 100 649"	"Basin of Mexico"	100	649	14965144.9772727	1720265.20347003	112500	6576506.57777778	-0.0673638100463931	0.846573943042353	-0.764811963281383
"Basin of Mexico 1200 1426"	"Basin of Mexico"	1200	1426	750000	1720265.20347003	25000	6576506.57777778	-0.039952554976028	0.839496444850126	-0.667058196448848
"Basin of Mexico 1427 1519"	"Basin of Mexico"	1427	1519	3500000	28070	225000	6576506.57777778	-0.18643895763448	0.749443051954472	-0.361955027773065
"Basin of Mexico 650 899"	"Basin of Mexico"	650	899	14965144.9772727	1720265.20347003	27500	6576506.57777778	-0.167082932650545	0.764455644584694	-0.352480849446406
"Basin of Mexico 900 1199"	"Basin of Mexico"	900	1199	175000	22500	45000	6576506.57777778	-0.187349188369492	0.737550092568989	-0.515024965868666
"Big Island Hawaii 1000 1199"	"Big Island Hawaii"	1000	1199	14965144.9772727	2350	170408.662280702	6576506.57777778	0.371835900964353	-0.765885060269087	-0.166963089030461
"Big Island Hawaii 1200 1649"	"Big Island Hawaii"	1200	1649	26750	2250	170408.662280702	6576506.57777778	0.478880448788918	-0.855705406871979	-0.0668858345294308
"Big Island Hawaii 1650 1777"	"Big Island Hawaii"	1650	1777	118750	9500	170408.662280702	6576506.57777778	0.467885718657429	-0.346004287394388	-0.840517963507071
"Big Island Hawaii 1778 1819"	"Big Island Hawaii"	1778	1819	120000	15800	170408.662280702	6576506.57777778	0.0584394448378037	-0.368275657254373	-0.80265355177437
"Cahokia -150 299"	"Cahokia"	-150	299	14965144.9772727	1720265.20347003	40	6576506.57777778	0.906985644654227	-0.505222489198534	-0.500574030443948
"Cahokia -600 -151"	"Cahokia"	-600	-151	14965144.9772727	1720265.20347003	40	6576506.57777778	0.924922457188802	-0.308916794762173	-0.745713140066809
"Cahokia 1050 1199"	"Cahokia"	1050	1199	45000	2500	12500	6576506.57777778	0.367708930918205	-0.518368040377951	-0.875204696022792
"Cahokia 1200 1274"	"Cahokia"	1200	1274	45000	2500	12500	137500	0.388286562529055	-0.497054601967708	-0.880855652092229
"Cahokia 1275 1399"	"Cahokia"	1275	1399	13500	750	6000	6576506.57777778	0.495739908724452	-0.538074687052533	-0.815380101663863
"Cahokia 1400 1639"	"Cahokia"	1400	1639	14965144.9772727	6000	200	6576506.57777778	0.387836906996591	-0.583549458727208	-0.367484715865269
"Cahokia 1640 1717"	"Cahokia"	1640	1717	6300	16500	2500	6576506.57777778	0.263305103042735	-0.243849906798288	-0.433881978763379
"Cahokia 300 449"	"Cahokia"	300	449	14965144.9772727	1720265.20347003	40	6576506.57777778	0.89647654907039	-0.425817512693097	-0.670842895176877
"Cahokia 450 599"	"Cahokia"	450	599	14965144.9772727	1720265.20347003	40	6576506.57777778	0.89647654907039	-0.425817512693097	-0.670842895176877
"Cahokia 600 749"	"Cahokia"	600	749	14965144.9772727	1720265.20347003	40	6576506.57777778	0.870158270622009	-0.620789687755894	-0.361088541974929
"Cahokia 750 899"	"Cahokia"	750	899	450	150	450	6576506.57777778	0.816323836401415	-0.508249997473244	-0.649123408138361
